Epoch	Time(sec)	Loss_train	MSE_dev	MSE_test
1	0.12933111100028327	2.5501112937927246	9.637896400969476	6.486752642039209
2	0.2378883239998686	2.529242217540741	9.589848399464973	6.677829979150556
3	0.35929164299977856	2.6849135160446167	9.540461270755623	6.970527306156873
4	0.4789558180000313	2.7265670895576477	9.401670626108535	7.151735199801624
5	0.587436499999967	2.4630709290504456	9.157013642601669	6.8744576225988565
6	0.7044712349998008	2.295212507247925	9.019036635756493	6.660089415918629
7	0.8183538450002743	2.203511655330658	8.727798371478276	7.514577773679048
8	0.9283831829998235	2.2495664954185486	8.36848805830814	7.811814742255956
9	1.0540732649997153	2.1251439452171326	8.089169352315366	7.529764841496944
10	1.207514360999994	2.1632959246635437	8.088589416258037	7.265218684077263
11	1.3258235880002758	1.963802993297577	7.32427666191943	8.575804850459098
