Epoch	Time(sec)	Loss_train	MSE_dev	MSE_test
1	0.12986505299340934	2.5501108169555664	9.63787910505198	6.486693184869364
2	0.2508037980005611	2.5291945338249207	9.590018750238233	6.677903068391606
3	0.36640844300563913	2.6848376989364624	9.542862638505175	6.971497171046212
4	0.4837472799990792	2.7274321913719177	9.407230638014152	7.153134954907
5	0.598129545993288	2.465020716190338	9.164923140406609	6.8722538944333795
6	0.7154881839960581	2.2999789714813232	9.04262167289853	6.637204227951588
7	0.8312092359992675	2.20994234085083	8.764542561990675	7.514660642901435
8	0.9516733229975216	2.253769636154175	8.440828777481153	7.861370696674567
9	1.0965085570060182	2.136917769908905	8.134616971202195	7.495140314102173
10	1.2360530820005806	2.1778272688388824	8.176597904507071	7.162179575860501
