Epoch	Time(sec)	Loss_train	MSE_dev	MSE_test
1	0.11808679300156655	2.701943278312683	9.38416583132348	6.595156768709421
2	0.22493227400264004	2.595122754573822	9.549927297141403	6.696053595468402
3	0.33744154600208276	2.7410324215888977	9.76162147819996	6.9352277049794795
4	0.4412686230025429	2.802893579006195	9.789154083514585	7.0685958286747335
5	0.5448875640031474	2.6366289258003235	9.763559629954397	7.138073735497892
6	0.6518479900005332	2.396677792072296	9.567672881484032	7.166920045763254
7	0.7611497080033587	2.3516331911087036	9.371573745831848	6.994395564496517
8	0.8663763140029914	2.505946695804596	9.197409509122371	6.935511904768646
9	0.9670962110030814	2.3268723487854004	9.131848173961043	7.378337905555964
10	1.069702196000435	2.475557416677475	8.790511380555108	6.8202437540283425
