Epoch	Time(sec)	Loss_train	MSE_dev	MSE_test
0	0.06099372399967251	9479.6552734375	6095.79535890799	7504.136066894143
1	0.09610101299949747	3273.5103759765625	1136.0474815093203	1660.9534779394285
2	0.1392088259999582	608.5573654174805	182.15285466950158	295.34770741574914
3	0.1765815199996723	196.29603958129883	1220.056999237573	1241.9800812228198
4	0.22814734899930045	710.3557281494141	2091.0020138526966	2112.3117586979615
5	0.2752742169996054	1023.2019958496094	1931.1361188537962	1927.6250950666358
6	0.3317168039993703	818.0960235595703	1201.6726880826106	1178.69251965577
7	0.37230185699991125	409.8337936401367	534.8118335438334	532.0706415672751
8	0.4184986199998093	153.48783493041992	184.2824583891773	242.26127186098938
9	0.46635701499963034	82.31123542785645	102.05099939444054	229.51507392384315
